fecha_vuelo,obs_date,dias_dif,cloud_pct,snow_pct,snow_unclouded_pct,admisible,anyo
2021-02-02,,,,,,False,2021
2021-03-04,2021-03-04,0.0,0.03,90.73,90.75,True,2021
2021-03-23,2021-03-24,1.0,0.11,81.3,81.38,True,2021
2021-04-14,2021-04-13,1.0,0.01,56.07,56.07,True,2021
2021-05-04,,,,,,False,2021
2021-12-16,2021-12-16,0.0,0.55,98.57,99.12,True,2021
2022-01-12,2022-01-13,1.0,2.33,94.61,96.87,True,2022
2022-01-28,2022-01-28,0.0,1.32,91.08,92.3,True,2022
2022-02-18,2022-02-17,1.0,7.01,83.54,89.83,True,2022
2022-04-17,2022-04-18,1.0,6.86,49.91,53.59,True,2022
2022-05-16,2022-05-13,3.0,11.18,23.05,25.95,True,2022
2022-12-01,2022-12-01,0.0,0.28,98.65,98.93,True,2022
2023-02-13,2023-02-12,1.0,0.41,93.94,94.32,True,2023
2023-03-16,2023-03-16,0.0,0.37,56.88,57.09,True,2023
2023-03-28,2023-03-29,1.0,2.99,36.25,37.37,True,2023
2024-01-25,2024-01-25,0.0,0.35,60.19,60.4,True,2024
2024-02-13,2024-02-14,1.0,6.08,92.68,98.67,True,2024
2024-03-07,,,,,,False,2024
2024-03-14,2024-03-13,1.0,0.25,98.55,98.79,True,2024
2024-04-05,2024-04-04,1.0,1.59,95.72,97.27,True,2024
2024-05-08,2024-05-09,1.0,0.34,43.44,43.59,True,2024
2024-06-05,2024-06-08,3.0,0.25,9.0,9.03,True,2024
2025-03-17,2025-03-17,0.0,0.9,96.5,97.38,True,2025
2025-03-27,2025-03-27,0.0,10.75,80.73,90.46,True,2025
2025-04-01,2025-03-30,2.0,0.02,89.77,89.79,True,2025
2025-04-24,2025-04-24,0.0,0.01,64.61,64.61,True,2025
2025-05-21,2025-05-24,3.0,0.0,18.84,18.84,True,2025
